IDSKU,IsMain,Label,Name,url
10279208,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279208_1.jpg
10279208,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279208_2.jpg
10279208,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279208_3.jpg
10279208,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279208_4.jpg
10279208,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279208_5.jpg
10279109,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279109_1.jpg
10279109,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279109_2.jpg
10279109,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279109_3.jpg
10279109,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279109_4.jpg
10279109,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279109_5.jpg
10279116,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279116_1.jpg
10279116,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279116_2.jpg
10279116,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279116_3.jpg
10279116,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279116_4.jpg
10279116,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279116_5.jpg
10279110,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279110_1.jpg
10279110,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279110_2.jpg
10279110,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279110_3.jpg
10279110,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279110_4.jpg
10279110,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279110_5.jpg
10279213,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279213_1.jpg
10279213,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279213_2.jpg
10279213,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279213_3.jpg
10279213,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279213_4.jpg
10279213,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279213_5.jpg
10278988,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278988_1.jpg
10278988,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278988_2.jpg
10278988,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278988_3.jpg
10278988,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278988_4.jpg
10278988,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278988_5.jpg
10279071,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279071_1.jpg
10279071,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279071_2.jpg
10279071,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279071_3.jpg
10279071,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279071_4.jpg
10279071,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279071_5.jpg
10278997,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278997_1.jpg
10278997,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278997_2.jpg
10278997,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278997_3.jpg
10278997,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278997_4.jpg
10278997,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278997_5.jpg
10279113,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279113_1.jpg
10279113,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279113_2.jpg
10279113,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279113_3.jpg
10279113,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279113_4.jpg
10279113,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279113_5.jpg
10279115,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279115_1.jpg
10279115,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279115_2.jpg
10279115,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279115_3.jpg
10279115,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279115_4.jpg
10279115,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279115_5.jpg
10279069,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279069_1.jpg
10279069,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279069_2.jpg
10279069,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279069_3.jpg
10279069,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279069_4.jpg
10279069,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279069_5.jpg
10279117,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279117_1.jpg
10279117,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279117_2.jpg
10279117,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279117_3.jpg
10279117,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279117_4.jpg
10279117,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279117_5.jpg
10278998,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278998_1.jpg
10278998,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278998_2.jpg
10278998,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278998_3.jpg
10278998,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278998_4.jpg
10278998,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278998_5.jpg
10278325,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278325_1.jpg
10278325,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278325_2.jpg
10278325,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278325_3.jpg
10278325,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278325_4.jpg
10278325,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278325_5.jpg
10279119,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279119_1.jpg
10279119,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279119_2.jpg
10279119,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279119_3.jpg
10279119,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279119_4.jpg
10279119,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279119_5.jpg
10278338,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278338_1.jpg
10278338,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278338_2.jpg
10278338,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278338_3.jpg
10278338,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278338_4.jpg
10278338,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278338_5.jpg
10279106,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279106_1.jpg
10279106,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279106_2.jpg
10279106,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279106_3.jpg
10279106,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279106_4.jpg
10279106,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279106_5.jpg
10279005,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279005_1.jpg
10279005,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279005_2.jpg
10279005,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279005_3.jpg
10279005,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279005_4.jpg
10279005,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279005_5.jpg
10279107,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279107_1.jpg
10279107,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279107_2.jpg
10279107,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279107_3.jpg
10279107,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279107_4.jpg
10279107,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279107_5.jpg
10279064,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279064_1.jpg
10279064,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279064_2.jpg
10279064,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279064_3.jpg
10279064,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279064_4.jpg
10279064,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279064_5.jpg
10279118,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279118_1.jpg
10279118,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279118_2.jpg
10279118,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279118_3.jpg
10279118,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279118_4.jpg
10279118,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279118_5.jpg
10278999,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278999_1.jpg
10278999,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278999_2.jpg
10278999,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278999_3.jpg
10278999,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278999_4.jpg
10278999,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10278999_5.jpg
10279105,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279105_1.jpg
10279105,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279105_2.jpg
10279105,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279105_3.jpg
10279105,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279105_4.jpg
10279105,False,quinta,quinta,https://raw.githubusercontent.com/thomas-ramirez/images-leomadeiras/main/10279105_5.jpg
